"controller","condition","item","reading_time","NA","subject","group_G","ambiguity_G","ambiguity","group"
"DashedSentence","exp1-1","23",6392,"False","Native 11","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","17",5143,"False","Native 11","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","4",2527,"False","Native 11","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","21",6526,"False","Native 11","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","22",3508,"False","Native 11","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","13",7270,"False","Native 11","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","16",3427,"False","Native 11","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","15",4992,"False","Native 11","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","14",2621,"False","Native 11","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","19",6673,"False","Native 11","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","1",4399,"False","Native 11","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","8",3318,"False","Native 11","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","2",2608,"False","Native 11","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","9",3900,"False","Native 11","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","12",3143,"False","Native 11","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","6",2932,"False","Native 12","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","21",4510,"False","Native 12","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","15",4252,"False","Native 12","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","9",4061,"False","Native 12","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","7",4727,"False","Native 12","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","5",7298,"False","Native 12","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","8",3474,"False","Native 12","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","14",5971,"False","Native 12","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","20",3929,"False","Native 12","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","18",3992,"False","Native 12","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","4",4599,"False","Native 12","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","2",5589,"False","Native 12","Native","Ambiguous",0.5,-0.5
